日付け,3m,6m,2y,5y,10y,30y
２月 1990,7.926,7.73,8.43,8.596,8.527,8.549
３月 1990,7.997,7.85,8.619,9.047,8.621,8.639
４月1990,7.981,8.01,9.032,8.564,9.073,9.001
５月1990,7.903,7.67,8.48,8.352,8.618,8.597
６月 1990,7.888,7.62,8.298,8.111,8.423,8.409
７月 1990,7.636,7.46,8.121,8.639,8.351,8.417
８月 1990,7.512,7.37,8.191,8.215,8.859,8.988
９月 1990,7.265,7.28,7.807,7.917,8.81,8.947
10月 1990,7.24,7.22,7.55,7.69,8.627,8.76
11月 1990,7.162,7,7.156,7.614,8.256,8.403
12月 1990,6.61,6.5,7.059,7.707,8.079,8.252
１月 1991,6.385,6.2,7.074,7.742,8.021,8.199
２月 1991,6.266,6.04,7.023,7.617,8.045,8.21
３月 1991,5.918,5.78,6.796,7.701,8.064,8.244
４月1991,5.692,5.57,6.698,7.883,8.018,8.186
５月1991,5.704,5.68,6.898,7.752,8.061,8.269
６月 1991,5.698,5.68,6.79,7.341,8.232,8.408
７月 1991,5.691,5.66,6.342,6.906,8.157,8.343
８月 1991,5.49,5.35,5.973,6.733,7.814,8.058
９月 1991,5.28,5.125,5.681,6.485,7.452,7.811
10月 1991,4.96,4.825,5.366,5.927,7.422,7.899
11月 1991,4.48,4.41,4.751,6.428,7.374,7.934
12月 1991,3.963,3.86,5.104,6.564,6.699,7.396
１月 1992,3.941,3.91,5.258,6.927,7.276,7.758
２月 1992,4.023,3.99,5.591,6.882,7.252,7.795
３月 1992,4.144,4.16,5.308,6.605,7.53,7.959
４月1992,3.771,3.84,5.192,6.279,7.583,8.036
５月1992,3.785,3.825,4.817,5.821,7.322,7.835
６月 1992,3.653,3.645,4.399,5.578,7.123,7.78
７月 1992,3.213,3.255,4.131,5.323,6.696,7.437
８月 1992,3.165,3.25,3.803,5.893,6.604,7.409
９月 1992,2.705,2.83,4.391,6.214,6.354,7.377
10月 1992,3.018,3.19,4.791,6,6.789,7.628
11月 1992,3.375,3.47,4.409,5.553,6.928,7.59
